Cluster_size,Cluster_count,cell_type,growth_rate_H,growth_rate_I,growth_rate_C,seed,alpha,conditional_entropy,fractal_dimension
1.0,30.0,1.0,0.01,0.003,0.00148,4,1.5,14.305859190869736,2.144050780875695
2.0,2.0,1.0,0.01,0.003,0.00148,4,1.5,14.305859190869736,2.144050780875695
3.0,3.0,1.0,0.01,0.003,0.00148,4,1.5,14.305859190869736,2.144050780875695
4.0,1.0,1.0,0.01,0.003,0.00148,4,1.5,14.305859190869736,2.144050780875695
2423.0,1.0,1.0,0.01,0.003,0.00148,4,1.5,14.305859190869736,2.144050780875695
1.0,16.0,2.0,0.01,0.003,0.00148,4,1.5,14.305859190869736,2.144050780875695
3.0,3.0,2.0,0.01,0.003,0.00148,4,1.5,14.305859190869736,2.144050780875695
4.0,1.0,2.0,0.01,0.003,0.00148,4,1.5,14.305859190869736,2.144050780875695
24.0,1.0,2.0,0.01,0.003,0.00148,4,1.5,14.305859190869736,2.144050780875695
35.0,2.0,2.0,0.01,0.003,0.00148,4,1.5,14.305859190869736,2.144050780875695
43.0,1.0,2.0,0.01,0.003,0.00148,4,1.5,14.305859190869736,2.144050780875695
51.0,1.0,2.0,0.01,0.003,0.00148,4,1.5,14.305859190869736,2.144050780875695
111.0,1.0,2.0,0.01,0.003,0.00148,4,1.5,14.305859190869736,2.144050780875695
209.0,1.0,2.0,0.01,0.003,0.00148,4,1.5,14.305859190869736,2.144050780875695
242.0,1.0,2.0,0.01,0.003,0.00148,4,1.5,14.305859190869736,2.144050780875695
1.0,5.0,3.0,0.01,0.003,0.00148,4,1.5,14.305859190869736,2.144050780875695
2.0,1.0,3.0,0.01,0.003,0.00148,4,1.5,14.305859190869736,2.144050780875695
396.0,1.0,3.0,0.01,0.003,0.00148,4,1.5,14.305859190869736,2.144050780875695
1.0,35.0,1.0,0.01,0.003,0.00148,4,1.625,15.011761373695013,2.143826496050226
2.0,5.0,1.0,0.01,0.003,0.00148,4,1.625,15.011761373695013,2.143826496050226
3.0,2.0,1.0,0.01,0.003,0.00148,4,1.625,15.011761373695013,2.143826496050226
4.0,1.0,1.0,0.01,0.003,0.00148,4,1.625,15.011761373695013,2.143826496050226
5.0,1.0,1.0,0.01,0.003,0.00148,4,1.625,15.011761373695013,2.143826496050226
2494.0,1.0,1.0,0.01,0.003,0.00148,4,1.625,15.011761373695013,2.143826496050226
1.0,19.0,2.0,0.01,0.003,0.00148,4,1.625,15.011761373695013,2.143826496050226
3.0,1.0,2.0,0.01,0.003,0.00148,4,1.625,15.011761373695013,2.143826496050226
7.0,1.0,2.0,0.01,0.003,0.00148,4,1.625,15.011761373695013,2.143826496050226
33.0,1.0,2.0,0.01,0.003,0.00148,4,1.625,15.011761373695013,2.143826496050226
37.0,1.0,2.0,0.01,0.003,0.00148,4,1.625,15.011761373695013,2.143826496050226
55.0,1.0,2.0,0.01,0.003,0.00148,4,1.625,15.011761373695013,2.143826496050226
79.0,1.0,2.0,0.01,0.003,0.00148,4,1.625,15.011761373695013,2.143826496050226
143.0,1.0,2.0,0.01,0.003,0.00148,4,1.625,15.011761373695013,2.143826496050226
200.0,1.0,2.0,0.01,0.003,0.00148,4,1.625,15.011761373695013,2.143826496050226
209.0,1.0,2.0,0.01,0.003,0.00148,4,1.625,15.011761373695013,2.143826496050226
1.0,6.0,3.0,0.01,0.003,0.00148,4,1.625,15.011761373695013,2.143826496050226
5.0,1.0,3.0,0.01,0.003,0.00148,4,1.625,15.011761373695013,2.143826496050226
44.0,1.0,3.0,0.01,0.003,0.00148,4,1.625,15.011761373695013,2.143826496050226
348.0,1.0,3.0,0.01,0.003,0.00148,4,1.625,15.011761373695013,2.143826496050226
1.0,50.0,1.0,0.01,0.003,0.00148,4,1.75,17.09683237965391,2.1192204940141073
2.0,6.0,1.0,0.01,0.003,0.00148,4,1.75,17.09683237965391,2.1192204940141073
3.0,2.0,1.0,0.01,0.003,0.00148,4,1.75,17.09683237965391,2.1192204940141073
112.0,1.0,1.0,0.01,0.003,0.00148,4,1.75,17.09683237965391,2.1192204940141073
226.0,1.0,1.0,0.01,0.003,0.00148,4,1.75,17.09683237965391,2.1192204940141073
2009.0,1.0,1.0,0.01,0.003,0.00148,4,1.75,17.09683237965391,2.1192204940141073
1.0,36.0,2.0,0.01,0.003,0.00148,4,1.75,17.09683237965391,2.1192204940141073
2.0,2.0,2.0,0.01,0.003,0.00148,4,1.75,17.09683237965391,2.1192204940141073
3.0,1.0,2.0,0.01,0.003,0.00148,4,1.75,17.09683237965391,2.1192204940141073
4.0,1.0,2.0,0.01,0.003,0.00148,4,1.75,17.09683237965391,2.1192204940141073
22.0,1.0,2.0,0.01,0.003,0.00148,4,1.75,17.09683237965391,2.1192204940141073
24.0,1.0,2.0,0.01,0.003,0.00148,4,1.75,17.09683237965391,2.1192204940141073
29.0,1.0,2.0,0.01,0.003,0.00148,4,1.75,17.09683237965391,2.1192204940141073
36.0,1.0,2.0,0.01,0.003,0.00148,4,1.75,17.09683237965391,2.1192204940141073
62.0,1.0,2.0,0.01,0.003,0.00148,4,1.75,17.09683237965391,2.1192204940141073
247.0,1.0,2.0,0.01,0.003,0.00148,4,1.75,17.09683237965391,2.1192204940141073
326.0,1.0,2.0,0.01,0.003,0.00148,4,1.75,17.09683237965391,2.1192204940141073
1.0,12.0,3.0,0.01,0.003,0.00148,4,1.75,17.09683237965391,2.1192204940141073
2.0,2.0,3.0,0.01,0.003,0.00148,4,1.75,17.09683237965391,2.1192204940141073
37.0,1.0,3.0,0.01,0.003,0.00148,4,1.75,17.09683237965391,2.1192204940141073
45.0,1.0,3.0,0.01,0.003,0.00148,4,1.75,17.09683237965391,2.1192204940141073
305.0,1.0,3.0,0.01,0.003,0.00148,4,1.75,17.09683237965391,2.1192204940141073
1.0,53.0,1.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
2.0,5.0,1.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
3.0,5.0,1.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
4.0,1.0,1.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
5.0,2.0,1.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
7.0,1.0,1.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
8.0,1.0,1.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
17.0,1.0,1.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
47.0,1.0,1.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
65.0,1.0,1.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
366.0,1.0,1.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
1959.0,1.0,1.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
1.0,25.0,2.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
2.0,8.0,2.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
3.0,4.0,2.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
4.0,3.0,2.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
11.0,1.0,2.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
23.0,1.0,2.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
35.0,2.0,2.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
58.0,1.0,2.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
77.0,1.0,2.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
212.0,1.0,2.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
268.0,1.0,2.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
1.0,5.0,3.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
2.0,3.0,3.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
61.0,1.0,3.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
111.0,1.0,3.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
220.0,1.0,3.0,0.01,0.003,0.00148,4,1.875,17.863485448567463,2.1103494232935742
1.0,61.0,1.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
2.0,8.0,1.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
3.0,3.0,1.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
4.0,2.0,1.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
6.0,2.0,1.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
147.0,1.0,1.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
284.0,1.0,1.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
2066.0,1.0,1.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
1.0,48.0,2.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
2.0,1.0,2.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
4.0,3.0,2.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
6.0,1.0,2.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
10.0,1.0,2.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
13.0,1.0,2.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
21.0,1.0,2.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
50.0,1.0,2.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
52.0,1.0,2.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
72.0,1.0,2.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
79.0,1.0,2.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
159.0,1.0,2.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
272.0,1.0,2.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
1.0,14.0,3.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
2.0,2.0,3.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
3.0,2.0,3.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
4.0,2.0,3.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
34.0,1.0,3.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
36.0,1.0,3.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
37.0,1.0,3.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
264.0,1.0,3.0,0.01,0.003,0.00148,4,2.0,20.229182787753004,2.089741948639873
1.0,73.0,1.0,0.01,0.003,0.00148,4,2.125,22.441756105860097,2.091743351420172
2.0,12.0,1.0,0.01,0.003,0.00148,4,2.125,22.441756105860097,2.091743351420172
3.0,4.0,1.0,0.01,0.003,0.00148,4,2.125,22.441756105860097,2.091743351420172
4.0,4.0,1.0,0.01,0.003,0.00148,4,2.125,22.441756105860097,2.091743351420172
5.0,2.0,1.0,0.01,0.003,0.00148,4,2.125,22.441756105860097,2.091743351420172
6.0,2.0,1.0,0.01,0.003,0.00148,4,2.125,22.441756105860097,2.091743351420172
11.0,1.0,1.0,0.01,0.003,0.00148,4,2.125,22.441756105860097,2.091743351420172
27.0,1.0,1.0,0.01,0.003,0.00148,4,2.125,22.441756105860097,2.091743351420172
277.0,1.0,1.0,0.01,0.003,0.00148,4,2.125,22.441756105860097,2.091743351420172
283.0,1.0,1.0,0.01,0.003,0.00148,4,2.125,22.441756105860097,2.091743351420172
1854.0,1.0,1.0,0.01,0.003,0.00148,4,2.125,22.441756105860097,2.091743351420172
