Cluster_size,Cluster_count,cell_type,growth_rate_H,growth_rate_I,growth_rate_C,seed,alpha,conditional_entropy,fractal_dimension
1.0,14.0,1.0,0.01,0.003,0.0004,4,1.0,9.922600123039986,2.122503912493256
2.0,1.0,1.0,0.01,0.003,0.0004,4,1.0,9.922600123039986,2.122503912493256
2339.0,1.0,1.0,0.01,0.003,0.0004,4,1.0,9.922600123039986,2.122503912493256
1.0,16.0,2.0,0.01,0.003,0.0004,4,1.0,9.922600123039986,2.122503912493256
2.0,1.0,2.0,0.01,0.003,0.0004,4,1.0,9.922600123039986,2.122503912493256
58.0,1.0,2.0,0.01,0.003,0.0004,4,1.0,9.922600123039986,2.122503912493256
324.0,1.0,2.0,0.01,0.003,0.0004,4,1.0,9.922600123039986,2.122503912493256
343.0,1.0,2.0,0.01,0.003,0.0004,4,1.0,9.922600123039986,2.122503912493256
103.0,1.0,3.0,0.01,0.003,0.0004,4,1.0,9.922600123039986,2.122503912493256
1.0,17.0,1.0,0.01,0.003,0.0004,4,1.125,10.394943947393886,2.130882517756156
2.0,2.0,1.0,0.01,0.003,0.0004,4,1.125,10.394943947393886,2.130882517756156
2439.0,1.0,1.0,0.01,0.003,0.0004,4,1.125,10.394943947393886,2.130882517756156
1.0,10.0,2.0,0.01,0.003,0.0004,4,1.125,10.394943947393886,2.130882517756156
2.0,1.0,2.0,0.01,0.003,0.0004,4,1.125,10.394943947393886,2.130882517756156
4.0,1.0,2.0,0.01,0.003,0.0004,4,1.125,10.394943947393886,2.130882517756156
12.0,1.0,2.0,0.01,0.003,0.0004,4,1.125,10.394943947393886,2.130882517756156
37.0,1.0,2.0,0.01,0.003,0.0004,4,1.125,10.394943947393886,2.130882517756156
52.0,1.0,2.0,0.01,0.003,0.0004,4,1.125,10.394943947393886,2.130882517756156
60.0,1.0,2.0,0.01,0.003,0.0004,4,1.125,10.394943947393886,2.130882517756156
153.0,1.0,2.0,0.01,0.003,0.0004,4,1.125,10.394943947393886,2.130882517756156
207.0,1.0,2.0,0.01,0.003,0.0004,4,1.125,10.394943947393886,2.130882517756156
220.0,1.0,2.0,0.01,0.003,0.0004,4,1.125,10.394943947393886,2.130882517756156
103.0,1.0,3.0,0.01,0.003,0.0004,4,1.125,10.394943947393886,2.130882517756156
1.0,20.0,1.0,0.01,0.003,0.0004,4,1.25,11.334523346362683,2.1336087428318162
2.0,1.0,1.0,0.01,0.003,0.0004,4,1.25,11.334523346362683,2.1336087428318162
2498.0,1.0,1.0,0.01,0.003,0.0004,4,1.25,11.334523346362683,2.1336087428318162
1.0,14.0,2.0,0.01,0.003,0.0004,4,1.25,11.334523346362683,2.1336087428318162
2.0,1.0,2.0,0.01,0.003,0.0004,4,1.25,11.334523346362683,2.1336087428318162
10.0,1.0,2.0,0.01,0.003,0.0004,4,1.25,11.334523346362683,2.1336087428318162
12.0,1.0,2.0,0.01,0.003,0.0004,4,1.25,11.334523346362683,2.1336087428318162
14.0,1.0,2.0,0.01,0.003,0.0004,4,1.25,11.334523346362683,2.1336087428318162
35.0,1.0,2.0,0.01,0.003,0.0004,4,1.25,11.334523346362683,2.1336087428318162
69.0,1.0,2.0,0.01,0.003,0.0004,4,1.25,11.334523346362683,2.1336087428318162
90.0,1.0,2.0,0.01,0.003,0.0004,4,1.25,11.334523346362683,2.1336087428318162
129.0,1.0,2.0,0.01,0.003,0.0004,4,1.25,11.334523346362683,2.1336087428318162
186.0,1.0,2.0,0.01,0.003,0.0004,4,1.25,11.334523346362683,2.1336087428318162
213.0,1.0,2.0,0.01,0.003,0.0004,4,1.25,11.334523346362683,2.1336087428318162
103.0,1.0,3.0,0.01,0.003,0.0004,4,1.25,11.334523346362683,2.1336087428318162
1.0,27.0,1.0,0.01,0.003,0.0004,4,1.375,12.330085144997874,2.1360169600770207
3.0,1.0,1.0,0.01,0.003,0.0004,4,1.375,12.330085144997874,2.1360169600770207
2531.0,1.0,1.0,0.01,0.003,0.0004,4,1.375,12.330085144997874,2.1360169600770207
1.0,19.0,2.0,0.01,0.003,0.0004,4,1.375,12.330085144997874,2.1360169600770207
4.0,1.0,2.0,0.01,0.003,0.0004,4,1.375,12.330085144997874,2.1360169600770207
14.0,1.0,2.0,0.01,0.003,0.0004,4,1.375,12.330085144997874,2.1360169600770207
