Cluster_size,Cluster_count,cell_type,alpha,grid_size,growth_rate_C,fractal_dim,condi_entropy,autocorr
1.0,5.0,1.0,1.0,30,0.001,1.2297158093186487,11.588459085148855,0.2401637273232604
412.0,1.0,1.0,1.0,30,0.001,1.2297158093186487,11.588459085148855,0.2401637273232604
54.0,1.0,2.0,1.0,30,0.001,1.2297158093186487,11.588459085148855,0.2401637273232604
3.0,1.0,3.0,1.0,30,0.001,1.2297158093186487,11.588459085148855,0.2401637273232604
1.0,7.0,1.0,1.0,40,0.001,0.8931394152980972,12.346982727535936,0.21424082846402323
2.0,2.0,1.0,1.0,40,0.001,0.8931394152980972,12.346982727535936,0.21424082846402323
656.0,1.0,1.0,1.0,40,0.001,0.8931394152980972,12.346982727535936,0.21424082846402323
1.0,3.0,2.0,1.0,40,0.001,0.8931394152980972,12.346982727535936,0.21424082846402323
3.0,1.0,2.0,1.0,40,0.001,0.8931394152980972,12.346982727535936,0.21424082846402323
98.0,1.0,2.0,1.0,40,0.001,0.8931394152980972,12.346982727535936,0.21424082846402323
53.0,1.0,3.0,1.0,40,0.001,0.8931394152980972,12.346982727535936,0.21424082846402323
1.0,13.0,1.0,1.0,50,0.001,1.141415874432489,12.165812787979155,0.20863203890778154
1004.0,1.0,1.0,1.0,50,0.001,1.141415874432489,12.165812787979155,0.20863203890778154
1.0,6.0,2.0,1.0,50,0.001,1.141415874432489,12.165812787979155,0.20863203890778154
20.0,1.0,2.0,1.0,50,0.001,1.141415874432489,12.165812787979155,0.20863203890778154
128.0,1.0,2.0,1.0,50,0.001,1.141415874432489,12.165812787979155,0.20863203890778154
103.0,1.0,3.0,1.0,50,0.001,1.141415874432489,12.165812787979155,0.20863203890778154
1.0,15.0,1.0,1.0,60,0.001,1.2155766938445667,12.779448523597386,0.2067513930668877
2.0,1.0,1.0,1.0,60,0.001,1.2155766938445667,12.779448523597386,0.2067513930668877
1450.0,1.0,1.0,1.0,60,0.001,1.2155766938445667,12.779448523597386,0.2067513930668877
1.0,1.0,2.0,1.0,60,0.001,1.2155766938445667,12.779448523597386,0.2067513930668877
7.0,1.0,2.0,1.0,60,0.001,1.2155766938445667,12.779448523597386,0.2067513930668877
66.0,1.0,2.0,1.0,60,0.001,1.2155766938445667,12.779448523597386,0.2067513930668877
130.0,1.0,2.0,1.0,60,0.001,1.2155766938445667,12.779448523597386,0.2067513930668877
153.0,1.0,3.0,1.0,60,0.001,1.2155766938445667,12.779448523597386,0.2067513930668877
1.0,17.0,1.0,1.0,70,0.001,1.157080443772451,10.80708408452196,0.2062433514463767
2.0,1.0,1.0,1.0,70,0.001,1.157080443772451,10.80708408452196,0.2062433514463767
1998.0,1.0,1.0,1.0,70,0.001,1.157080443772451,10.80708408452196,0.2062433514463767
1.0,4.0,2.0,1.0,70,0.001,1.157080443772451,10.80708408452196,0.2062433514463767
2.0,1.0,2.0,1.0,70,0.001,1.157080443772451,10.80708408452196,0.2062433514463767
117.0,1.0,2.0,1.0,70,0.001,1.157080443772451,10.80708408452196,0.2062433514463767
131.0,1.0,2.0,1.0,70,0.001,1.157080443772451,10.80708408452196,0.2062433514463767
203.0,1.0,3.0,1.0,70,0.001,1.157080443772451,10.80708408452196,0.2062433514463767
1.0,16.0,1.0,1.0,80,0.001,1.1006326078524944,11.358852383859904,0.2036588497789367
2.0,1.0,1.0,1.0,80,0.001,1.1006326078524944,11.358852383859904,0.2036588497789367
3.0,1.0,1.0,1.0,80,0.001,1.1006326078524944,11.358852383859904,0.2036588497789367
2596.0,1.0,1.0,1.0,80,0.001,1.1006326078524944,11.358852383859904,0.2036588497789367
1.0,5.0,2.0,1.0,80,0.001,1.1006326078524944,11.358852383859904,0.2036588497789367
2.0,2.0,2.0,1.0,80,0.001,1.1006326078524944,11.358852383859904,0.2036588497789367
41.0,1.0,2.0,1.0,80,0.001,1.1006326078524944,11.358852383859904,0.2036588497789367
256.0,1.0,2.0,1.0,80,0.001,1.1006326078524944,11.358852383859904,0.2036588497789367
301.0,1.0,3.0,1.0,80,0.001,1.1006326078524944,11.358852383859904,0.2036588497789367
1.0,24.0,1.0,1.0,90,0.001,1.070008745466947,10.702656355151271,0.2027084950713487
2.0,3.0,1.0,1.0,90,0.001,1.070008745466947,10.702656355151271,0.2027084950713487
3237.0,1.0,1.0,1.0,90,0.001,1.070008745466947,10.702656355151271,0.2027084950713487
1.0,10.0,2.0,1.0,90,0.001,1.070008745466947,10.702656355151271,0.2027084950713487
37.0,1.0,2.0,1.0,90,0.001,1.070008745466947,10.702656355151271,0.2027084950713487
361.0,1.0,2.0,1.0,90,0.001,1.070008745466947,10.702656355151271,0.2027084950713487
399.0,1.0,3.0,1.0,90,0.001,1.070008745466947,10.702656355151271,0.2027084950713487
1.0,26.0,1.0,1.0,100,0.001,1.0818975300252065,10.363475868681604,0.2023465159571067
2.0,1.0,1.0,1.0,100,0.001,1.0818975300252065,10.363475868681604,0.2023465159571067
3.0,1.0,1.0,1.0,100,0.001,1.0818975300252065,10.363475868681604,0.2023465159571067
3989.0,1.0,1.0,1.0,100,0.001,1.0818975300252065,10.363475868681604,0.2023465159571067
1.0,11.0,2.0,1.0,100,0.001,1.0818975300252065,10.363475868681604,0.2023465159571067
2.0,1.0,2.0,1.0,100,0.001,1.0818975300252065,10.363475868681604,0.2023465159571067
9.0,1.0,2.0,1.0,100,0.001,1.0818975300252065,10.363475868681604,0.2023465159571067
54.0,1.0,2.0,1.0,100,0.001,1.0818975300252065,10.363475868681604,0.2023465159571067
431.0,1.0,2.0,1.0,100,0.001,1.0818975300252065,10.363475868681604,0.2023465159571067
497.0,1.0,3.0,1.0,100,0.001,1.0818975300252065,10.363475868681604,0.2023465159571067
1.0,219.0,1.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
2.0,17.0,1.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
3.0,6.0,1.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
4.0,2.0,1.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
6.0,1.0,1.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
7.0,1.0,1.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
16.0,1.0,1.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
83.0,1.0,1.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
3109.0,1.0,1.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
3604.0,1.0,1.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
3973.0,1.0,1.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
5003.0,1.0,1.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
1.0,33.0,2.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
2.0,4.0,2.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
3.0,1.0,2.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
4.0,1.0,2.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
9.0,1.0,2.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
11.0,1.0,2.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
64.0,1.0,2.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
71.0,1.0,2.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
128.0,1.0,2.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
271.0,1.0,2.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
274.0,1.0,2.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
1124.0,1.0,2.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
1.0,3.0,3.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
46.0,1.0,3.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
75.0,2.0,3.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
89.0,1.0,3.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
